WRL	0	WR			World
ACC	3	1991	1991-11-21	1991-12-02	1991_Amilcar_Cabral_Cup
ACC	3	1989	1989-05-23	1989-06-04	1989_Amilcar_Cabral_Cup
ACC	3	1988	1988-04-27	1988-05-08	1988_Amilcar_Cabral_Cup
ACC	3	1987	1987-02-21	1987-03-03	1987_Amilcar_Cabral_Cup
ACC	3	1986	1986-01-31	1986-02-10	1986_Amilcar_Cabral_Cup
ACC	3	1985	1985-02-10	1985-02-22	1985_Amilcar_Cabral_Cup
ACC	3	1984	1984-02-07	1984-02-19	1984_Amilcar_Cabral_Cup
ACC	3	1983	1983-07-19	1983-07-29	1983_Amilcar_Cabral_Cup
ACC	3	1982	1982-02-10	1982-02-19	1982_Amilcar_Cabral_Cup
ACC	3	1981	1981-02-01	1981-02-13	1981_Amilcar_Cabral_Cup
ACC	3	1980	1980-02-08	1980-02-18	1980_Amilcar_Cabral_Cup
ACC	3	1979	1979-01-06	1979-01-14	1979_Amilcar_Cabral_Cup
ACC	3	1975	1975-06-07	1975-06-15	1975_Amilcar_Cabral_Cup
WAC	3	1976	1976-01-13	1976-01-18	1976_West_African_Cup
WAC	3	1975	1975-06-07	1975-06-15	1975_West_African_Cup
WAC	3	1972	1972-09-27	1972-10-08	1972_West_African_Cup
WAC	3	1970	1970-05-26	1970-05-27	1970_West_African_Cup
CEC	2				2019_CECAFA_Cup
2010-19	3
CEC	4	2019	2019-12-06	2019-12-19	2019_CECAFA_Cup
CEC	4	2017	2017-12-02	2017-12-17	2017_CECAFA_Cup
CEC	4	2015	2015-11-20	2015-12-05	2015_CECAFA_Cup
CEC	4	2013	2013-11-26	2013-12-12	2013_CECAFA_Cup
CEC	4	2012	2012-11-23	2012-12-08	2012_CECAFA_Cup
CEC	4	2011	2011-11-24	2011-12-10	2011_CECAFA_Cup
CEC	4	2010	2010-11-26	2010-12-12	2010_CECAFA_Cup
2000-09	3
CEC	4	2009	2009-11-27	2009-12-13	2009_CECAFA_Cup
CEC	4	2008-09	2008-12-30	2009-01-13	2008-09_CECAFA_Cup
CEC	4	2007	2007-12-07	2007-12-22	2007_CECAFA_Cup
CEC	4	2006	2006-11-24	2006-12-10	2006_CECAFA_Cup
CEC	4	2005	2005-11-25	2005-12-10	2005_CECAFA_Cup
CEC	4	2004	2004-12-10	2004-12-25	2004_CECAFA_Cup
CEC	4	2003	2003-11-29	2003-12-10	2003_CECAFA_Cup
CEC	4	2002	2002-11-29	2002-12-14	2002_CECAFA_Cup
CEC	4	2001	2001-12-07	2001-12-22	2001_CECAFA_Cup
CEC	4	2000	2000-11-17	2000-12-02	2000_CECAFA_Cup
1990-99	3
CEC	4	1999	1999-07-23	1999-08-07	1999_CECAFA_Cup
CEC	4	1996	1996-11-16	1996-11-29	1996_CECAFA_Cup
CEC	4	1995	1995-11-24	1995-12-09	1995_CECAFA_Cup
CEC	4	1994	1994-11-25	1994-12-08	1994_CECAFA_Cup
CEC	4	1992	1992-11-14	1992-11-28	1992_CECAFA_Cup
CEC	4	1991	1991-11-22	1991-12-07	1991_CECAFA_Cup
CEC	4	1990	1990-12-07	1990-12-20	1990_CECAFA_Cup
1980-89	3
CEC	4	1989	1989-12-01	1989-12-16	1989_CECAFA_Cup
CEC	4	1988	1988-11-05	1988-11-19	1988_CECAFA_Cup
CEC	4	1987	1987-12-12	1987-12-27	1987_CECAFA_Cup
CEC	4	1985	1985-10-03	1985-10-13	1985_CECAFA_Cup
CEC	4	1984	1984-11-30	1984-12-15	1984_CECAFA_Cup
CEC	4	1983	1983-11-11	1983-11-26	1983_CECAFA_Cup
CEC	4	1982	1982-11-12	1982-11-27	1982_CECAFA_Cup
CEC	4	1981	1981-11-13	1981-11-28	1981_CECAFA_Cup
CEC	4	1980	1980-11-13	1980-11-28	1980_CECAFA_Cup
1970-79	3
CEC	4	1979	1979-11-02	1979-11-17	1979_CECAFA_Cup
CEC	4	1978	1978-10-31	1978-11-19	1978_CECAFA_Cup
CEC	4	1977	1977-11-24	1977-12-09	1977_CECAFA_Cup
CEC	4	1976	1976-11-05	1976-11-14	1976_CECAFA_Cup
CEC	4	1975	1975-10-30	1975-11-09	1975_CECAFA_Cup
CEC	4	1974	1974-10-25	1974-11-07	1974_CECAFA_Cup
CEC	4	1973	1973-09-21	1973-09-29	1973_CECAFA_Cup
ECA	4	1971	1971-09-24	1971-10-03	1971_East_and_Central_African_Senior_Challenge_Cup
ECA	4	1970	1970-09-25	1970-10-03	1970_East_and_Central_African_Senior_Challenge_Cup
1960-69	3
ECA	4	1969	1969-09-26	1969-10-04	1969_East_and_Central_African_Senior_Challenge_Cup
ECA	4	1968	1968-09-27	1968-10-05	1968_East_and_Central_African_Senior_Challenge_Cup
ECA	4	1967	1967-09-29	1967-10-10	1967_East_and_Central_African_Senior_Challenge_Cup
GSG	4	1966	1966-09-23	1966-10-01	1966_Gossage_Cup
GSG	4	1965	1965-09-24	1965-10-02	1965_Gossage_Cup
GSG	4	1964	1964-09-25	1964-10-03	1964_Gossage_Cup
GSG	4	1963	1963-09-27	1963-10-05	1963_Gossage_Cup
GSG	4	1962-63	1962-07-05	1963-01-19	1962-63_Gossage_Cup
GSG	4	1961	1961-09-29	1961-10-07	1961_Gossage_Cup
GSG	4	1960	1960-10-07	1960-10-15	1960_Gossage_Cup
1950-59	3
GSG	4	1959	1959-10-02	1959-10-10	1959_Gossage_Cup
GSG	4	1958	1958-10-03	1958-10-11	1958_Gossage_Cup
GSG	4	1957	1957-09-02	1957-09-07	1957_Gossage_Cup
GSG	4	1956	1956-11-26	1956-12-01	1956_Gossage_Cup
GSG	4	1955	1955-10-09	1955-10-15	1955_Gossage_Cup
GSG	4	1954	1954-10-04	1954-10-10	1954_Gossage_Cup
GSG	4	1953	1953-09-28	1953-10-03	1953_Gossage_Cup
GSG	4	1952	1952-09-22	1952-09-27	1952_Gossage_Cup
GSG	4	1951	1951-09-24	1951-09-29	1951_Gossage_Cup
GSG	4	1950	1950-10-09	1950-10-16	1950_Gossage_Cup
1940-49	3
GSG	4	1949	1949-12-04	1949-12-08	1949_Gossage_Cup
GSG	4	1948	1948-09-21	1948-09-25	1948_Gossage_Cup
GSG	4	1947	1947-09-12	1947-09-20	1947_Gossage_Cup
GSG	4	1946	1946-09-17	1946-09-21	1946_Gossage_Cup
GSG	4	1945	1945-03-27	1945-03-30	1945_Gossage_Cup
GSG	4	1944	1944-03-24	1944-03-25	1944_Gossage_Cup
GSG	4	1943	1943-03-26	1943-03-27	1943_Gossage_Cup
GSG	4	1942	1942-03-27	1942-03-28	1942_Gossage_Cup
GSG	4	1941	1941-03-28	1941-03-29	1941_Gossage_Cup
GSG	4	1940	1940-03-29	1940-03-30	1940_Gossage_Cup
1926-39	3
GSG	4	1939	1939-03-24	1939-03-25	1939_Gossage_Cup
GSG	4	1938	1938-03-25	1938-03-26	1938_Gossage_Cup
GSG	4	1937	1937-04-02	1937-04-03	1937_Gossage_Cup
GSG	4	1936	1936-03-27	1936-03-28	1936_Gossage_Cup
GSG	4	1935	1935-05-05	1935-05-06	1935_Gossage_Cup
GSG	4	1932	1932-12-13	1932-12-14	1932_Gossage_Cup
GSG	4	1931	1931-12-15	1931-12-17	1931_Gossage_Cup
GSG	4	1930	1930-08-18	1930-08-19	1930_Gossage_Cup
GSG	4	1929	1929-12-13	1929-12-14	1929_Gossage_Cup
GSG	4	1928	1928-05-05	1928-05-06	1928_Gossage_Cup
GSG	4	1926		1926-05-03	1926_Gossage_Cup
COC	2				1991_CEDEAO_Cup
COC	3	1991	1991-10-30	1991-11-02	1991_CEDEAO_Cup
COT	4	Q	1991-05-04	1991-09-01	1991_CEDEAO_Cup_qualifying
COC	3	1990	1990-01-23	1990-01-28	1990_CEDEAO_Cup
COT	4	Q	1989-11-25	1989-11-29	1990_CEDEAO_Cup_qualifying
COC	3	1987	1987-12-18	1987-12-23	1987_CEDEAO_Cup
COT	4	Q	1987-11-21	1987-12-13	1987_CEDEAO_Cup_qualifying
COC	3	1985	1985-12-24	1985-12-29	1985_CEDEAO_Cup
COT	4	Q	1985-04-06	1985-08-25	1985_CEDEAO_Cup_qualifying
COC	3	1983	1983-12-14	1983-12-20	1983_CEDEAO_Cup
COT	4	Q	1983-01-16	1983-11-19	1983_CEDEAO_Cup_qualifying
COC	3	1977	1977-04-14	1977-09-04	1977_CEDEAO_Cup
CFG	2				1987_Central_African_Games
CFG	3	1987	1987-04-17	1987-04-30	1987_Central_African_Games
CFG	3	1981	1981-08-20	1981-08-29	1981_Central_African_Games
CFG	3	1976	1976-06-27	1976-07-11	1976_Central_African_Games
CAR	3	1972	1972-07-13	1972-07-23	1972_Central_African_Cup
UDC	2				2007_CEMAC_Cup
CMC	3	2007	2007-03-04	2007-03-16	2007_CEMAC_Cup
CMC	3	2006	2006-03-03	2006-03-14	2006_CEMAC_Cup
CMC	3	2005	2005-02-02	2005-02-12	2005_CEMAC_Cup
CMC	3	2003	2003-12-04	2003-12-13	2003_CEMAC_Cup
UDE	3	1990	1990-12-07	1990-12-18	1990_UDEAC_Cup
UDE	3	1989	1989-12-01	1989-12-12	1989_UDEAC_Cup
UDE	3	1988	1988-11-29	1988-12-08	1988_UDEAC_Cup
UDE	3	1987	1987-12-06	1987-12-18	1987_UDEAC_Cup
UDE	3	1986	1986-12-08	1986-12-19	1986_UDEAC_Cup
UDE	3	1985	1985-12-06	1985-12-19	1985_UDEAC_Cup
UDE	3	1984	1984-12-08	1984-12-20	1984_UDEAC_Cup
WAN	2				1987_West_African_Nations_Cup
WAN	3	1987	1987-01-29	1987-02-08	1987_West_African_Nations_Cup
WAN	3	1986	1986-02-22	1986-03-02	1986_West_African_Nations_Cup
WAN	3	1984	1984-11-16	1984-11-28	1984_West_African_Nations_Cup
WAN	3	1983	1983-09-24	1983-10-02	1983_West_African_Nations_Cup
WAN	3	1982	1982-02-12	1982-02-23	1982_West_African_Nations_Cup
AS	1				2027_Asian_Cup
AC	2				2027_Asian_Cup
AC	3	2027			2027_Asian_Cup
AQ	4	Q	2023-10-11	2026-06-04	2027_Asian_Cup_qualifying
AC	3	2024	2024-01-11	2024-02-10	2024_Asian_Cup
AQ	4	Q	2019-06-05	2022-06-14	2024_Asian_Cup_qualifying
AC	3	2019	2019-01-04	2019-02-01	2019_Asian_Cup
AQ	4	Q	2015-03-11	2018-03-27	2019_Asian_Cup_qualifying
AC	3	2015	2015-01-08	2015-01-31	2015_Asian_Cup
AQ	4	Q	2011-02-08	2014-05-30	2015_Asian_Cup_qualifying
AC	3	2011	2011-01-06	2011-01-29	2011_Asian_Cup
AQ	4	Q	2008-04-01	2010-03-03	2011_Asian_Cup_qualifying
AC	3	2007	2007-07-06	2007-07-29	2007_Asian_Cup
AQ	4	Q	2005-12-21	2006-11-15	2007_Asian_Cup_qualifying
AC	3	2004	2004-07-16	2004-08-07	2004_Asian_Cup
AQ	4	Q	2003-03-15	2003-11-29	2004_Asian_Cup_qualifying
AC	3	2000	2000-10-11	2000-10-29	2000_Asian_Cup
AQ	4	Q	1999-08-02	2000-04-13	2000_Asian_Cup_qualifying
AC	3	1996	1996-12-03	1996-12-21	1996_Asian_Cup
AQ	4	Q	1996-01-23	1996-08-13	1996_Asian_Cup_qualifying
AC	3	1992	1992-10-28	1992-11-08	1992_Asian_Cup
AQ	4	Q	1992-04-18	1992-06-23	1992_Asian_Cup_qualifying
AC	3	1988	1988-12-01	1988-12-18	1988_Asian_Cup
AQ	4	Q	1988-02-03	1988-06-22	1988_Asian_Cup_qualifying
AC	3	1984	1984-11-30	1984-12-16	1984_Asian_Cup
AQ	4	Q	1984-08-05	1984-10-28	1984_Asian_Cup_qualifying
AC	3	1980	1980-09-14	1980-09-30	1980_Asian_Cup
AQ	4	Q	1978-12-22	1979-11-22	1980_Asian_Cup_qualifying
AC	3	1976	1976-06-02	1976-06-13	1976_Asian_Cup
AQ	4	Q	1975-03-14	1975-12-02	1976_Asian_Cup_qualifying
AC	3	1972	1972-05-06	1972-05-19	1972_Asian_Cup
AQ	4	Q	1971-05-20	1971-12-24	1972_Asian_Cup_qualifying
AC	3	1968	1968-05-09	1968-05-19	1968_Asian_Cup
AQ	4	Q	1967-03-21	1967-11-19	1968_Asian_Cup_qualifying
AC	3	1964	1964-05-25	1964-06-03	1964_Asian_Cup
AQ	4	Q	1963-12-06	1963-12-14	1964_Asian_Cup_qualifying
AC	3	1960	1960-10-13	1960-10-23	1960_Asian_Cup
AQ	4	Q	1959-03-28	1959-12-18	1960_Asian_Cup_qualifying
AC	3	1956	1956-08-31	1956-09-15	1956_Asian_Cup
AQ	4	Q	1956-02-24	1956-09-02	1956_Asian_Cup_qualifying
CNU	2				2025_Central_Asian_Nations_Cup
CNU	3	2025	2025-08-28	2025-09-08	2025_Central_Asian_Nations_Cup
CNU	3	2023	2023-06-09	2023-06-20	2023_Central_Asian_Nations_Cup
CAU	3	1994	1994-04-10	1994-04-19	1994_Central_Asian_Cup
CAU	3	1992	1992-05-31	1992-10-25	1992_Central_Asian_Cup
EAH	2				2025_East_Asian_Championship
EAH	3	2025	2025-07-06	2025-07-15	2025_East_Asian_Championship
EAT	4	Q	2024-12-07	2024-12-17	2025_East_Asian_Championship_qualifying
EAH	3	2022	2022-07-18	2022-07-27	2022_East_Asian_Championship
EAH	3	2019	2019-12-09	2019-12-18	2019_East_Asian_Championship
EAT	4	Q	2018-09-01	2018-11-16	2019_East_Asian_Championship_qualifying
EAH	3	2017	2017-12-08	2017-12-16	2017_East_Asian_Championship
EAT	4	Q	2016-06-29	2016-11-12	2017_East_Asian_Championship_qualifying
EAH	3	2015	2015-08-01	2015-08-09	2015_East_Asian_Championship
EAT	4	Q	2014-07-20	2014-11-19	2015_East_Asian_Championship_qualifying
EAH	3	2013	2013-07-19	2013-07-28	2013_East_Asian_Championship
EAT	4	Q	2012-07-17	2012-12-09	2013_East_Asian_Championship_qualifying
EAH	3	2010	2010-02-05	2010-02-14	2010_East_Asian_Championship
EAT	4	Q	2009-03-10	2009-08-27	2010_East_Asian_Championship_qualifying
EAH	3	2008	2008-02-16	2008-02-23	2008_East_Asian_Championship
EAT	4	Q	2007-03-24	2007-06-24	2008_East_Asian_Championship_qualifying
EAH	3	2005	2005-07-30	2005-08-07	2005_East_Asian_Championship
EAT	4	Q	2005-03-04	2005-03-13	2005_East_Asian_Championship_qualifying
EAH	3	2003	2003-12-03	2003-12-10	2003_East_Asian_Championship
EAT	4	Q	2003-02-21	2003-03-02	2003_East_Asian_Championship_qualifying
GLF	2				2026_Gulf_Cup
GLF	3	2026			2026_Gulf_Cup
GLF	3	2024-25	2024-12-20	2025-01-04	2024-25_Gulf_Cup
GLF	3	2023	2023-01-05	2023-01-19	2023_Gulf_Cup
GLF	3	2019	2019-11-25	2019-12-08	2019_Gulf_Cup
GLF	3	2017-18	2017-12-21	2018-01-05	2017-18_Gulf_Cup
GLF	3	2014	2014-11-12	2014-11-26	2014_Gulf_Cup
GLF	3	2013	2013-01-04	2013-01-18	2013_Gulf_Cup
GLF	3	2010	2010-11-21	2010-12-05	2010_Gulf_Cup
GLF	3	2009	2009-01-03	2009-01-17	2009_Gulf_Cup
GLF	3	2007	2007-01-16	2007-01-30	2007_Gulf_Cup
GLF	3	2004	2004-12-09	2004-12-24	2004_Gulf_Cup
GLF	3	2003-04	2003-12-25	2004-01-11	2003-04_Gulf_Cup
GLF	3	2002	2002-01-15	2002-01-30	2002_Gulf_Cup
GLF	3	1998	1998-10-29	1998-11-12	1998_Gulf_Cup
GLF	3	1996	1996-10-14	1996-10-28	1996_Gulf_Cup
GLF	3	1994	1994-11-02	1994-11-16	1994_Gulf_Cup
GLF	3	1992	1992-11-26	1992-12-10	1992_Gulf_Cup
GLF	3	1990	1990-02-20	1990-03-09	1990_Gulf_Cup
GLF	3	1988	1988-03-01	1988-03-18	1988_Gulf_Cup
GLF	3	1986	1986-03-21	1986-04-07	1986_Gulf_Cup
GLF	3	1984	1984-03-08	1984-03-28	1984_Gulf_Cup
GLF	3	1982	1982-03-18	1982-04-04	1982_Gulf_Cup
GLF	3	1979	1979-03-22	1979-04-09	1979_Gulf_Cup
GLF	3	1976	1976-03-25	1976-04-15	1976_Gulf_Cup
GLF	3	1974	1974-03-14	1974-03-29	1974_Gulf_Cup
GLF	3	1972	1972-03-15	1972-03-28	1972_Gulf_Cup
GLF	3	1970	1970-03-26	1970-04-03	1970_Gulf_Cup
SFF	2				2023_South_Asian_Championship
SFF	3	2023	2023-06-20	2023-07-04	2023_South_Asian_Championship
SFF	3	2021	2021-09-30	2021-10-16	2021_South_Asian_Championship
SFF	3	2018	2018-09-03	2018-09-15	2018_South_Asian_Championship
SFF	3	2015-16	2015-12-22	2016-01-03	2015-16_South_Asian_Championship
SFF	3	2013	2013-08-30	2013-09-11	2013_South_Asian_Championship
SFF	3	2011	2011-12-01	2011-12-11	2011_South_Asian_Championship
SFF	3	2009	2009-12-03	2009-12-13	2009_South_Asian_Championship
SFF	3	2008	2008-06-02	2008-06-14	2008_South_Asian_Championship
SFF	3	2005	2005-12-06	2005-12-17	2005_South_Asian_Championship
SFF	3	2003	2003-01-09	2003-01-20	2003_South_Asian_Championship
SFF	3	1999	1999-04-21	1999-05-01	1999_South_Asian_Championship
SFF	3	1997	1997-09-03	1997-09-13	1997_South_Asian_Championship
SFF	3	1995	1995-03-24	1995-04-02	1995_South_Asian_Championship
SFF	3	1993	1993-07-15	1993-07-23	1993_South_Asian_Championship
SEA	2				2026_Southeast_Asian_Championship
SEA	3	2026			2026_Southeast_Asian_Championship
SET	4	Q	2026-06-01	2026-06-09	2026_Southeast_Asian_Championship_qualifying
SEA	3	2024-25	2024-12-07	2025-01-05	2024-25_Southeast_Asian_Championship
SET	4	Q	2024-10-07	2024-10-15	2024-25_Southeast_Asian_Championship_qualifying
SEA	3	2022-23	2022-12-19	2023-01-16	2022-23_Southeast_Asian_Championship
SET	4	Q	2022-11-04	2022-11-08	2022-23_Southeast_Asian_Championship_qualifying
SEA	3	2021-22	2021-12-04	2022-01-01	2021-22_Southeast_Asian_Championship
SEA	3	2018	2018-11-07	2018-12-15	2018_Southeast_Asian_Championship
SET	4	Q	2018-08-31	2018-09-08	2018_Southeast_Asian_Championship_qualifying
SEA	3	2016	2016-11-18	2016-12-17	2016_Southeast_Asian_Championship
SET	4	Q	2016-10-14	2016-10-21	2016_Southeast_Asian_Championship_qualifying
SEA	3	2014	2014-11-21	2014-12-20	2014_Southeast_Asian_Championship
SET	4	Q	2014-10-11	2014-10-20	2014_Southeast_Asian_Championship_qualifying
SEA	3	2012	2012-11-23	2012-12-22	2012_Southeast_Asian_Championship
SET	4	Q	2012-10-04	2012-10-13	2012_Southeast_Asian_Championship_qualifying
SEA	3	2010	2010-11-30	2010-12-29	2010_Southeast_Asian_Championship
SET	4	Q	2010-10-21	2010-10-26	2010_Southeast_Asian_Championship_qualifying
SEA	3	2008	2008-12-04	2008-12-28	2008_Southeast_Asian_Championship
SET	4	Q	2008-10-16	2008-10-25	2008_Southeast_Asian_Championship_qualifying
SEA	3	2007	2007-01-11	2007-02-04	2007_Southeast_Asian_Championship
SET	4	Q	2006-11-11	2006-11-20	2007_Southeast_Asian_Championship_qualifying
SEA	3	2004-05	2004-12-06	2005-01-16	2004-05_Southeast_Asian_Championship
SEA	3	2002	2002-12-14	2002-12-29	2002_Southeast_Asian_Championship
SEA	3	2000	2000-11-04	2000-11-18	2000_Southeast_Asian_Championship
SEA	3	1998	1998-08-25	1998-09-05	1998_Southeast_Asian_Championship
SET	4	Q	1998-03-13	1998-03-28	1998_Southeast_Asian_Championship_qualifying
SEA	3	1996	1996-09-01	1996-09-15	1996_Southeast_Asian_Championship
WAH	2				2019_West_Asian_Championship
WAH	3	2019	2019-07-29	2019-08-14	2019_West_Asian_Championship
WAH	3	2013-14	2013-12-24	2014-01-07	2013-14_West_Asian_Championship
WAH	3	2012	2012-12-07	2012-12-20	2012_West_Asian_Championship
WAH	3	2010	2010-09-23	2010-10-03	2010_West_Asian_Championship
WAH	3	2008	2008-08-06	2008-08-15	2008_West_Asian_Championship
WAH	3	2007	2007-06-15	2007-06-24	2007_West_Asian_Championship
WAH	3	2004	2004-06-16	2004-06-25	2004_West_Asian_Championship
WAH	3	2002	2002-08-29	2002-09-07	2002_West_Asian_Championship
WAH	3	2000	2000-05-22	2000-06-02	2000_West_Asian_Championship
ASG	2				1998_Asian_Games
ASG	3	1998	1998-11-29	1998-12-19	1998_Asian_Games
ASG	3	1994	1994-09-30	1994-10-16	1994_Asian_Games
ASG	3	1990	1990-09-22	1990-10-06	1990_Asian_Games
ASG	3	1986	1986-09-19	1986-10-05	1986_Asian_Games
ASG	3	1982	1982-11-19	1982-12-03	1982_Asian_Games
ASG	3	1978	1978-12-09	1978-12-20	1978_Asian_Games
ASG	3	1974	1974-09-01	1974-09-15	1974_Asian_Games
ASG	3	1970	1970-12-09	1970-12-20	1970_Asian_Games
ASG	3	1966	1966-12-08	1966-12-20	1966_Asian_Games
ASG	3	1962	1962-08-24	1962-09-04	1962_Asian_Games
ASG	3	1958	1958-05-24	1958-06-01	1958_Asian_Games
ASG	3	1954	1954-04-30	1954-05-08	1954_Asian_Games
ASG	3	1951	1951-03-04	1951-03-10	1951_Asian_Games
FEG	2				1934_Far_Eastern_Games
FEG	3	1934	1934-05-11	1934-05-20	1934_Far_Eastern_Games
FEG	3	1930	1930-05-24	1930-05-30	1930_Far_Eastern_Games
FEG	3	1927	1927-08-26	1927-08-31	1927_Far_Eastern_Games
FEG	3	1925	1925-05-16	1925-05-22	1925_Far_Eastern_Games
FEG	3	1923	1923-05-21	1923-05-24	1923_Far_Eastern_Games
FEG	3	1921	1921-05-29	1921-06-01	1921_Far_Eastern_Games
FEG	3	1919	1919-05-11	1919-05-15	1919_Far_Eastern_Games
FEG	3	1917	1917-05-08	1917-05-11	1917_Far_Eastern_Games
FEG	3	1915	1915-05-16	1915-05-20	1915_Far_Eastern_Games
FEG	3	1913		1913-02-04	1913_Far_Eastern_Games
SAG	2				1999_South_Asian_Games
SAG	3	1999	1999-09-23	1999-10-04	1999_South_Asian_Games
SAG	3	1995	1995-12-18	1995-12-27	1995_South_Asian_Games
SAG	3	1993	1993-12-10	1993-12-18	1993_South_Asian_Games
SAG	3	1991	1991-12-21	1991-12-29	1991_South_Asian_Games
SAG	3	1989	1989-10-19	1989-10-26	1989_South_Asian_Games
SAG	3	1987	1987-11-20	1987-11-26	1987_South_Asian_Games
SAG	3	1985	1985-12-20	1985-12-25	1985_South_Asian_Games
SAG	3	1984	1984-09-17	1984-09-23	1984_South_Asian_Games
SEG	2				1999_Southeast_Asian_Games
SEG	3	1999	1999-07-29	1999-08-14	1999_Southeast_Asian_Games
SEG	3	1997	1997-10-04	1997-10-18	1997_Southeast_Asian_Games
SEG	3	1995	1995-12-03	1995-12-16	1995_Southeast_Asian_Games
SEG	3	1993	1993-06-06	1993-06-20	1993_Southeast_Asian_Games
SEG	3	1991	1991-11-24	1991-12-04	1991_Southeast_Asian_Games
SEG	3	1989	1989-08-20	1989-08-31	1989_Southeast_Asian_Games
SEG	3	1987	1987-09-09	1987-09-20	1987_Southeast_Asian_Games
SEG	3	1985	1985-12-07	1985-12-17	1985_Southeast_Asian_Games
SEG	3	1983	1983-05-27	1983-06-06	1983_Southeast_Asian_Games
SEG	3	1981	1981-12-05	1981-12-15	1981_Southeast_Asian_Games
SEG	3	1979	1979-09-21	1979-09-30	1979_Southeast_Asian_Games
SEG	3	1977	1977-11-18	1977-11-26	1977_Southeast_Asian_Games
SEP	3	1975	1975-12-08	1975-12-16	1975_Southeast_Asian_Peninsula_Games
SEP	3	1973	1973-08-31	1973-09-08	1973_Southeast_Asian_Peninsula_Games
SEP	3	1971	1971-12-11	1971-12-18	1971_Southeast_Asian_Peninsula_Games
SEP	3	1969	1969-12-05	1969-12-13	1969_Southeast_Asian_Peninsula_Games
SEP	3	1967	1967-12-09	1967-12-16	1967_Southeast_Asian_Peninsula_Games
SEP	3	1965	1965-12-14	1965-12-21	1965_Southeast_Asian_Peninsula_Games
SEP	3	1961	1961-12-10	1961-12-16	1961_Southeast_Asian_Peninsula_Games
SEP	3	1959	1959-12-12	1959-12-17	1959_Southeast_Asian_Peninsula_Games
ACH	2				2016_Asian_Solidarity_Cup
ASC	3	2016	2016-11-01	2016-11-15	2016_Asian_Solidarity_Cup
ACH	3	2014	2014-05-18	2014-05-30	2014_Asian_Challenge_Cup
CHT	4	Q	2013-03-01	2013-03-26	2014_Asian_Challenge_Cup_qualifying
ACH	3	2012	2012-03-07	2012-03-19	2012_Asian_Challenge_Cup
CHT	4	Q	2011-02-08	2011-04-11	2012_Asian_Challenge_Cup_qualifying
ACH	3	2010	2010-02-15	2010-02-27	2010_Asian_Challenge_Cup
CHT	4	Q	2009-03-25	2009-04-30	2010_Asian_Challenge_Cup_qualifying
ACH	3	2008	2008-07-29	2008-08-13	2008_Asian_Challenge_Cup
CHT	4	Q	2008-04-01	2008-05-28	2008_Asian_Challenge_Cup_qualifying
ACH	3	2006	2006-03-31	2006-04-16	2006_Asian_Challenge_Cup
O	1				2024_Oceania_Nations_Cup
OC	2				2024_Oceania_Nations_Cup
OC	3	2024	2024-06-14	2024-06-30	2024_Oceania_Nations_Cup
OQT	4	Q	2024-03-19	2024-03-26	2024_Oceania_Nations_Cup_qualifying
OC	3	2016	2016-05-27	2016-06-11	2016_Oceania_Nations_Cup
OQT	4	Q	2015-08-30	2015-09-04	2016_Oceania_Nations_Cup_qualifying
OC	3	2012	2012-05-31	2012-06-10	2012_Oceania_Nations_Cup
OQT	4	Q	2011-11-21	2011-11-26	2012_Oceania_Nations_Cup_qualifying
OC	3	2007-08	2007-10-16	2008-11-19	2007-08_Oceania_Nations_Cup
OQT	4	Q	2007-08-24	2007-09-07	2007-08_Oceania_Nations_Cup_qualifying
OC	3	2004	2004-05-28	2004-10-12	2004_Oceania_Nations_Cup
OQT	4	Q	2004-05-09	2004-05-19	2004_Oceania_Nations_Cup_qualifying
OC	3	2002	2002-07-04	2002-07-14	2002_Oceania_Nations_Cup
OQT	4	Q	2002-03-08	2002-03-18	2002_Oceania_Nations_Cup_qualifying
OC	3	2000	2000-06-18	2000-06-28	2000_Oceania_Nations_Cup
OQT	4	Q	2000-04-07	2000-06-14	2000_Oceania_Nations_Cup_qualifying
OC	3	1998	1998-09-24	1998-10-04	1998_Oceania_Nations_Cup
OQT	4	Q	1998-09-01	1998-09-12	1998_Oceania_Nations_Cup_qualifying
OC	3	1995-96	1995-11-09	1996-11-01	1995-96_Oceania_Nations_Cup
OQT	4	Q	1994-07-02	1994-11-28	1995-96_Oceania_Nations_Cup_qualifying
OC	3	1980	1980-02-23	1980-03-01	1980_Oceania_Nations_Cup
OC	3	1973	1973-02-16	1973-02-24	1973_Oceania_Nations_Cup
PG	2				2023_Pacific_Games
PG	3	2023	2023-11-16	2023-12-02	2023_Pacific_Games
PG	3	2019	2019-07-07	2019-07-20	2019_Pacific_Games
PMG	3	2017	2017-12-01	2017-12-15	2017_Pacific_Mini-Games
PG	3	2011	2011-08-26	2011-09-09	2011_Pacific_Games
SPG	3	2007	2007-08-24	2007-09-07	2007_South_Pacific_Games
SPG	3	2003	2003-06-29	2003-07-11	2003_South_Pacific_Games
SPG	3	1995	1995-08-15	1995-08-26	1995_South_Pacific_Games
SPM	3	1993	1993-12-06	1993-12-16	1993_South_Pacific_Mini-Games
SPG	3	1991	1991-09-08	1991-09-20	1991_South_Pacific_Games
SPG	3	1987	1987-12-08	1987-12-19	1987_South_Pacific_Games
SPG	3	1983	1983-08-19	1983-09-15	1983_South_Pacific_Games
SPM	3	1981	1981-07-06	1981-07-15	1981_South_Pacific_Mini-Games
